"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.92","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2015","12/31/2015"
"AL","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.98","","01/01/2015","12/31/2015"
"AR","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.98","","01/01/2015","12/31/2015"
"AS","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2015","12/31/2015"
"AZ","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.93","","01/01/2015","12/31/2015"
"CA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.99","","01/01/2015","12/31/2015"
"CO","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.97","","01/01/2015","12/31/2015"
"CT","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","","01/01/2015","12/31/2015"
"DC","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.99","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2015","12/31/2015"
"DE","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.99","14 - The results for this state are combined with nearby states to protect confidentiality.","01/01/2015","12/31/2015"
"FL","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.03","","01/01/2015","12/31/2015"
"GA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.96","","01/01/2015","12/31/2015"
"GU","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","Not Available","9 - No data are available from the state/territory for this reporting period.","01/01/2015","12/31/2015"
"HI","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.88","","01/01/2015","12/31/2015"
"IA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.93","","01/01/2015","12/31/2015"
"ID","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.93","","01/01/2015","12/31/2015"
"IL","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1","","01/01/2015","12/31/2015"
"IN","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1","","01/01/2015","12/31/2015"
"KS","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1","","01/01/2015","12/31/2015"
"KY","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","0.97","","01/01/2015","12/31/2015"
"LA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.04","","01/01/2015","12/31/2015"
"MA","Medicare hospital spending per patient (Medicare Spending per Beneficiary)","MSPB_1","1.01","","01/01/2015","12/31/2015"
